,VISIT_AREA_NM,LOTNO_ADDR,X_COORD,Y_COORD,VISIT_AREA_TYPE_CD
48,귀빈돌솥밥,대전 서구 만년동 349,127.3805048,36.36637017,11
49,이재효갤러리,경기 양평군 지평면 무왕리 521,127.6678113,37.4596785,3
50,조훈모과자점 팔마점,전남 순천시 연향동 1050-54,127.5132738,34.93704645,11
51,원조태평소국밥,대전 유성구 봉명동 682-2,127.3502194,36.35747988,11
52,고창고인돌유적,전북 고창군 고창읍 죽림리 275-3,126.646965,35.44737116,2
53,천안종합운동장,충남 천안시 서북구 백석동 251,127.1150742,36.81879375,5
54,유림공원,대전 유성구 봉명동 2-1,127.3574414,36.35997097,8
55,노적봉,전남 목포시 대의동2가 1-120,126.3815751,34.7885582,2
56,담양국수거리,전남 담양군 담양읍 객사리,126.9848493,35.32413794,4
57,농부식당,대전 서구 탄방동 1140,127.3969046,36.34751112,11
58,미미제면소,충남 천안시 서북구 성정동 718-3,127.1372566,36.81488103,11
59,운조루,전남 구례군 토지면 오미리 103,127.515358,35.20616488,2
60,전라감영,전북 전주시 완산구 중앙동4가 1-6,127.145863,35.81621335,2
61,여수씨월드,전남 여수시 수정동 774-1,127.7485649,34.74636614,6
62,중화루,전남 나주시 송월동 1098-10,126.7127243,35.01444196,11
63,모이핀,전남 여수시 돌산읍 평사리 1273-5,127.7790844,34.6878508,11
64,막이오름 전주객리단길점,전북 전주시 완산구 다가동4가 80-1,127.1400369,35.81924851,11
65,공주한옥마을,충남 공주시 웅진동 325-11,127.1087615,36.46457111,7
66,짚회관,전남 여수시 학동 96-6,127.6655597,34.75928376,11
67,덕유산 향적봉,전북 무주군 설천면 삼공리,127.74632,35.8598831,1
68,아르떼뮤지엄 여수,전남 여수시 덕충동 2005,127.7457754,34.75069462,3
69,광한루원,전북 남원시 천거동 78,127.3797814,35.40391878,2
70,도원식당,전북 무주군 설천면 청량리 489-7,127.7558851,36.01592517,11
71,강진만생태공원,전남 강진군 강진읍 남포리 548,126.7737305,34.61992371,1
72,칠지공원,충남 부여군 규암면 신리 480,126.8977485,36.28916736,1
73,씨엘로,전남 곡성군 겸면 마전리 957-5,127.1626864,35.28593173,11
74,무등산 리프트모노레일,광주 동구 지산동 산 63-1,126.9474422,35.14892702,13
75,이마트 전주점,전북 전주시 완산구 서신동 767,127.1202826,35.83258691,4
76,엉터리해장국 용봉점,광주 북구 용봉동 1358-6,126.8936489,35.18080074,11
77,메타프로방스,전남 담양군 담양읍 학동리 586-1,127.0029122,35.32204415,6
78,맥도날드 오산세교DT점,경기 오산시 내삼미동 466-1,127.0558765,37.17859168,11
79,해어름,충남 당진시 신평면 매산리 29-10,126.8065571,36.93024828,11
80,비비비,충남 부여군 부여읍 가증리 483-1,126.9452499,36.29534466,11
81,서부농수산물도매시장,광주 서구 매월동 954,126.8564264,35.11634662,4
82,오십년할머니집,충북 괴산군 괴산읍 대덕리 산 61-2,127.8193912,36.80502139,11
83,소예르,전남 담양군 담양읍 남산리 384,126.9896408,35.31829779,11
84,엑스포다리,대전 유성구 도룡동,127.3880315,36.37240183,6
85,만성리검은모래해변,전남 여수시 만흥동 85-3,127.745476,34.77885683,1
86,메가MGC커피 목포포미점,전남 목포시 용해동 979-2,126.398126,34.81696211,11
87,청해횟집,충남 보령시 신흑동 1874,126.514707,36.30941484,11
88,군산근대역사박물관,전북 군산시 장미동 1-67,126.7120641,35.99083092,2
89,단양패러명가,충북 단양군 가곡면 사평리 218-6,128.4008239,37.00167215,5
90,덕룡산,전남 강진군 도암면 봉황리 산 175-1,126.6991945,34.5385338,1
91,이성당 본점,전북 군산시 중앙로1가 12-2,126.7112634,35.98720064,11
92,녹테마레,전남 여수시 만흥동 1226,127.7259351,34.77449952,6
93,길거리야 한옥마을점,전북 전주시 완산구 교동 267-2,127.1510727,35.81395376,11
94,우렁이박사,충남 당진시 신평면 도성리 499-11,126.8028233,36.87993128,11
95,국립아시아문화전당,광주 동구 광산동 13,126.9213535,35.14733372,3
96,핀스커피,충남 천안시 동남구 구성동 137-5,127.1772265,36.79052341,11
97,초가정담,전북 진안군 마령면 동촌리 60-1,127.3962871,35.75810145,11
98,무주국밥,전북 무주군 설천면 심곡리 679-10,127.7586852,35.91107461,11
99,카페스카이,전남 여수시 덕충동 2005,127.7464988,34.75219101,11
100,대천키조개삼합,충남 보령시 신흑동 2272-9,126.5131191,36.3130203,11
101,배론성지 배론성당,충북 제천시 봉양읍 구학리 652-1,128.0828105,37.16127005,2
102,모악산,전북 완주군 구이면 원기리,127.0851725,35.72858103,1
103,카페운,충북 단양군 영춘면 백자리 83,128.4849297,37.0422485,11
104,명동게장 별관,전남 여수시 봉산동 273-7,127.7222132,34.73272398,11
105,진미식당,전북 익산시 황등면 황등리 902-11,126.9448784,36.00587193,11
106,산아래정식,충북 제천시 봉양읍 장평리 949-2,128.1269997,37.1200277,11
107,생거진천자연휴양림,충북 진천군 백곡면 명암리 산 34-1,127.390234,36.92399781,5
108,마느리막국수,충북 단양군 단양읍 상진리 561,128.3527257,36.97963633,11
109,진주성,경남 진주시 본성동 415,128.0799814,35.18955476,2
110,예술포차,전남 광양시 중동 1814-6,127.6960533,34.9248669,11
111,장터소머리국밥,대전 중구 안영동 683-6,127.3799864,36.28809906,11
112,비비정 정자,전북 완주군 삼례읍 후정리 820-3,127.0685479,35.89899948,1
113,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
114,순천만국가정원,전남 순천시 오천동 600,127.4989016,34.92921833,1
115,이정동묵밥,충북 충주시 금릉동 105-1,127.9221873,36.98810853,11
116,보령무궁화수목원,충남 보령시 성주면 성주리 251-1,126.6389246,36.33430175,1
117,카페정원,충남 천안시 동남구 수신면 속창리 211-16,127.2806361,36.73110937,11
118,대인시장,광주 동구 대인동 310-9,126.9168058,35.15389258,4
119,죽도봉공원,전남 순천시 조곡동 산 64-7,127.4944214,34.95374698,7
120,신민회,전북 군산시 신창동 40,126.7099782,35.98626927,11
121,기역니은디귿,전남 담양군 월산면 화방리 429-7,126.9655173,35.33442721,11
122,경암동철길마을,전북 군산시 경암동 539-4,126.7349894,35.98131266,7
123,담양관방제림,전남 담양군 담양읍 객사리 1,126.986002,35.32387128,1
124,성심당 케익부띠끄,대전 중구 은행동 153,127.4268031,36.32751103,11
125,청춘수제버거,전남 순천시 덕암동 226-2,127.5030249,34.94487814,11
126,머루와인동굴,전북 무주군 적상면 북창리 산 119-5,127.6975188,35.96491682,1
127,모이핀,전남 여수시 돌산읍 평사리 1273-5,127.7790844,34.6878508,11
128,아라리오갤러리 천안,충남 천안시 동남구 신부동 97-3,127.157809,36.8193755,3
129,송광사,전남 순천시 송광면 신평리 12,127.2761304,35.00218023,2
130,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
131,조선대학교,광주 동구 서석동 산 57-1,126.9347093,35.14273208,8
132,빽다방 청주가경골드점,충북 청주시 흥덕구 가경동 1678,127.4426932,36.61647783,11
133,연미산자연미술공원,충남 공주시 우성면 신웅리 산 26-8,127.1026048,36.47355484,1
134,왕산중화요리,전북 군산시 문화동 918-10,126.7010888,35.97345896,11
135,성심당 본점,대전 중구 은행동 145-1,127.4272984,36.32766877,11
136,투벤,전남 나주시 삼도동 1378-4,126.7217642,35.04035053,11
137,아우터베이크하우스 담양점,전남 담양군 담양읍 양각리 76-3,126.9756773,35.32360285,11
138,해미우시장,충남 서산시 해미면 읍내리 221-56,126.5451467,36.71003192,4
139,칠갑산 천문대스타파크,충남 청양군 정산면 마치리 526-3,126.8898685,36.43377072,13
140,목포 갓바위,전남 목포시 용해동 산 86-24,126.4257591,34.79202241,1
141,변산해수욕장,전북 부안군 변산면 대항리 603,126.5303615,35.67868461,1
142,우렁이박사,충남 당진시 신평면 도성리 499-11,126.8028233,36.87993128,11
143,순천만습지,전남 순천시 대대동 162-2,127.509555,34.88561199,1
144,도란도란,전북 전주시 덕진구 금암동 667-30,127.1328088,35.84117532,11
145,여행집,전남 여수시 중앙동 432,127.7363512,34.7401741,4
146,수제돈까스,충북 제천시 화산동 191-31,128.2094056,37.13357408,11
147,국립부여박물관,충남 부여군 부여읍 동남리 산 18-2,126.9191034,36.2763832,2
148,현충사 충무공이순신기념관,충남 아산시 염치읍 백암리 298-1,127.031247,36.80590898,2
149,신흥동일본식가옥,전북 군산시 신흥동 58-2,126.7060575,35.98616961,2
150,유달유원지,전남 목포시 죽교동 465-142,126.3673348,34.78774497,7
151,슬담,전남 담양군 담양읍 삼만리 351,126.9959575,35.34063954,11
152,화엄사,전남 구례군 마산면 황전리 12,127.4979666,35.25728671,2
153,커피벨트 본점,전북 익산시 오산면 송학리 293-35,126.9292175,35.9455457,11
154,디프커피,전남 담양군 담양읍 지침리 138-13,126.9833373,35.31794376,11
155,전주덕진공원,전북 전주시 덕진구 덕진동1가 1316-2,127.1210246,35.84748755,1
156,흑돼지삼백식당 원주본점,강원 원주시 반곡동 1880-5,127.9793289,37.32501535,11
157,우수영 민물장어돼지갈비,전남 해남군 문내면 동외리 537-5,126.3148501,34.59662954,11
158,정담식당,전남 여수시 여서동 384-4,127.7080945,34.75155504,11
159,무등산국립공원,광주 북구 금곡동 산 1-3,126.9935266,35.13006011,7
160,의림지 용추폭포 유리전망대,충북 제천시 모산동 581,128.2085031,37.17211474,1
161,대전중앙시장,대전 동구 원동 51-1,127.4331837,36.32955988,4
162,서학아트스페이스,전북 전주시 완산구 서서학동 51-3,127.1503702,35.80988094,11
163,태동식당,전남 목포시 죽동 223-1,126.3834066,34.78999621,11
164,여수돌문어타코,전남 여수시 종화동 521,127.7440729,34.73864708,11
165,남당항대하축제,충남 홍성군 서부면 남당리 861,126.4699361,36.53930123,8
166,청풍호관광 모노레일,충북 제천시 청풍면 도곡리 99,128.1340234,37.00314292,13
167,월곡영화골벽화마을,전남 보성군 벌교읍 벌교리 508,127.3407815,34.84481726,7
168,원산면옥,충남 논산시 은진면 연서리 491,127.1054469,36.1620324,11
169,공산성,충남 공주시 금성동 65-3,127.1262966,36.46324084,2
170,스타보드포차,전남 목포시 죽교동 465-177,126.3661319,34.7896028,11
171,목포 근대역사문화공간,전남 목포시 중앙동2가 12,126.3822715,34.78615952,2
172,무안회산백련지,전남 무안군 일로읍 산정리 842-10,126.5262233,34.86288658,1
173,전라남도 산림자원연구소,전남 나주시 산포면 산제리 산 23-7,126.8256812,35.00649024,13
174,솥밥집,충북 청주시 상당구 용암동 186,127.5159558,36.61630568,11
175,스타벅스 전주한옥마을점,전북 전주시 완산구 전동 187-9,127.1485312,35.81344501,11
176,넘버트웰브,세종특별자치시 전동면 보덕리 294-10,127.254012,36.64204856,11
177,장항도시탐험역,충남 서천군 장항읍 창선2리 632-26,126.6953154,36.01248125,3
178,양림마을이야기관 관광안내소,광주 남구 양림동 202-2,126.9156107,35.1421308,4
179,전라감영,전북 전주시 완산구 중앙동4가 1-6,127.145863,35.81621335,2
180,순천만국가정원,전남 순천시 오천동 600,127.4989016,34.92921833,1
181,익산미륵사지,전북 익산시 금마면 기양리 32-2,127.0312769,36.01241625,2
182,생거진천푸드마켓,충북 진천군 진천읍 성석리 969-4,127.4528763,36.86035132,4
183,구름위의 산책,충북 단양군 가곡면 사평리 218-2,128.398315,37.00036464,7
184,신세계프리미엄아울렛 여주,경기 여주시 상거동 460,127.6121957,37.24139161,4
185,이플카페,충북 괴산군 칠성면 율원리 896-5,127.8618074,36.78238999,11
186,김대중노벨평화상기념관,전남 목포시 산정동 1481,126.3921941,34.78291396,2
187,외할머니솜씨,전북 전주시 완산구 교동 97-1,127.1520497,35.81275656,11
188,나드리김밥 청주지웰시티점,충북 청주시 흥덕구 복대동 288-6,127.42598,36.64223812,11
189,배론성지,충북 제천시 봉양읍 구학리 674,128.0824727,37.16063522,2
190,단양강잔도,충북 단양군 적성면 애곡리,128.339651,36.97796816,7
191,제천 옥순봉 출렁다리,충북 제천시 수산면 괴곡리 64-1,128.2330238,36.94373567,13
192,전주동물원,전북 전주시 덕진구 덕진동1가 73-48,127.1443889,35.85520353,6
193,담양관방제림,전남 담양군 담양읍 객사리 1,126.986002,35.32387128,2
194,유림공원,대전 유성구 봉명동 2-1,127.3574414,36.35997097,1
195,이건식당,충북 단양군 단양읍 별곡리 544,128.3703348,36.98361505,11
196,천성세이브마트 논현점,인천 남동구 논현동 747-1,126.7275322,37.39752801,4
197,귀족의상실,전북 전주시 완산구 풍남동3가 50-1,127.1526746,35.81610034,4
198,1913송정역시장,광주 광산구 송정동 990-18,126.7919428,35.13642559,4
199,오유,전북 전주시 완산구 경원동2가 40-31,127.1492148,35.81742323,11
200,퍼스트빈하우스,전북 남원시 죽항동 100-1,127.3826843,35.40647297,11
201,충남칼국수,충남 서천군 서천읍 군사리 635-8,126.6915373,36.07676755,11
202,토미야,대전 서구 월평동 294,127.3768241,36.35914721,11
203,강천산군립공원,전북 순창군 팔덕면 청계리 1038,127.0755169,35.41276995,1
204,정금차밭,경남 하동군 화개면 정금리 산 168-1,127.6434531,35.2148744,3
205,외할머니솜씨,전북 전주시 완산구 교동 97-1,127.1520497,35.81275656,11
206,요리하는아빠,경남 하동군 화개면 탑리 663-8,127.6235662,35.18985915,11
207,무령왕릉,충남 공주시 금성동 140-8,127.1137954,36.46229098,2
208,최재호베이커리 서신점,전북 전주시 완산구 서신동 5-32,127.1264302,35.82884939,11
209,테라스키친,대전 중구 은행동 145-1,127.4273755,36.32770995,11
210,학마을식당,세종특별자치시 금남면 감성리 124-1,127.2883685,36.4400013,11
211,고창읍성,전북 고창군 고창읍 읍내리 산 9,126.7048689,35.42973105,2
212,중앙탑막국수,충북 충주시 중앙탑면 탑평리 41,127.8642122,37.01804526,11
213,청포대해수욕장,충남 태안군 남면 원청리 512-78,126.3019349,36.6391315,1
214,아쿠아플라넷 여수,전남 여수시 수정동 774-1,127.748734,34.74622088,6
215,선운사,전북 고창군 아산면 삼인리 500,126.578159,35.49723407,2
216,의좋은형제공원,충남 예산군 대흥면 상중리 274-1,126.7917378,36.60678389,1
217,의좋은형제공원,충남 예산군 대흥면 상중리 274-1,126.7917378,36.60678389,1
218,황룡강생태공원,전남 장성군 장성읍 기산리 508-2,126.7770423,35.30500891,1
219,아케이드커피,대전 유성구 봉명동 615-6,127.3442894,36.3578756,11
220,스시히어로,충북 청주시 흥덕구 복대동 288-6,127.4262389,36.64234803,11
221,포마횟집,전북 부안군 계화면 창북리 856-27,126.6939009,35.7633091,11
222,동경잇쇼쿠,대전 유성구 반석동 656-3,127.3155177,36.38986739,11
223,카페만조,충남 서산시 지곡면 중왕리 510-3,126.3691109,36.87310113,11
224,고소동벽화마을,전남 여수시 고소동 268,127.7411828,34.73903428,7
225,순천만습지,전남 순천시 대대동 162-2,127.509555,34.88561199,1
226,유림공원,대전 유성구 봉명동 2-1,127.3574414,36.35997097,1
227,해미호떡,충남 서산시 해미면 읍내리 100-3,126.5491276,36.71042374,11
228,성심당 대전역점,대전 동구 정동 1-280,127.4341209,36.33226361,11
229,단양구경시장,충북 단양군 단양읍 도전리 615,128.3699822,36.98249105,4
230,보성여관,전남 보성군 벌교읍 벌교리 640-2,127.343415,34.8439409,3
231,고흥썬밸리리조트 사우나,전남 고흥군 도덕면 용동리 산 4,127.1983308,34.64554067,6
232,세정아울렛,광주 서구 치평동 1326,126.8473534,35.1468052,4
233,한국짬뽕,충남 당진시 석문면 삼봉리 922-5,126.5375389,37.01364463,11
234,사인암,충북 단양군 대강면 사인암리 산 27,128.3407914,36.89465391,1
235,현충사,충남 아산시 염치읍 백암리 298-1,127.0322782,36.80650704,2
236,격포해수욕장,전북 부안군 변산면 격포리 283-1,126.4695627,35.63001931,1
237,오동도 동백열차타는곳,전남 여수시 수정동 1,127.7660185,34.74525166,13
238,시민칼국수,대전 중구 문화동 1-166,127.4156262,36.32106644,11
239,소노문단양 오션플레이,충북 단양군 단양읍 상진리 4-4,128.3618819,36.97692229,6
240,국립익산박물관 어린이박물관,전북 익산시 금마면 기양리 104-1,127.0286132,36.01148775,2
241,풀뿌리흑두부,전남 여수시 율촌면 가장리 2002-2,127.5566139,34.84918785,11
242,벽오동,전남 순천시 덕월동 24-2,127.4818287,34.92038156,11
243,델버로,세종특별자치시 장군면 대교리 231-4,127.2180627,36.51667149,11
244,으뜸플러스안경 둔산점,대전 서구 둔산동 1071,127.3767524,36.35167842,4
245,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
246,속리산테마파크 모노레일,충북 보은군 속리산면 갈목리 산 21,127.8014639,36.49948537,13
247,전주덕진공원,전북 전주시 덕진구 덕진동1가 1316-2,127.1210246,35.84748755,1
248,목포근대역사관 2관,전남 목포시 중앙동2가 6,126.3814907,34.78596446,2
249,장령산자연휴양림,충북 옥천군 군서면 금산리 산 15-1,127.5555948,36.24642998,1
250,단양구경시장,충북 단양군 단양읍 도전리 615,128.3699822,36.98249105,4
251,전주동물원,전북 전주시 덕진구 덕진동1가 73-48,127.1443889,35.85520353,6
252,성심당 본점,대전 중구 은행동 145-1,127.4272984,36.32766877,11
253,왕궁리유적,전북 익산시 왕궁면 왕궁리 562,127.0549353,35.97384572,2
254,전라남도종합사격장,전남 나주시 안창동 1,126.7060769,35.02004342,5
255,익산 교도소 세트장,전북 익산시 성당면 와초리 154-4,126.930603,36.06945155,2
256,화양연화,전북 순창군 순창읍 남계리 694-1,127.1421967,35.37110473,11
257,순천동천,전남 순천시 풍덕동,127.5011714,34.93603064,1
258,양림문화역사마을,광주 남구 양림동 202-23,126.9154975,35.14233533,7
259,수암골,충북 청주시 상당구 수동 81-12,127.4943422,36.64728439,2
260,경암동철길마을,전북 군산시 경암동 539-4,126.7349894,35.98131266,7
261,옛날피순대,전북 전주시 완산구 전동3가 2-242,127.1465974,35.81240914,11
262,로드1950카페,충남 당진시 신평면 매산리 1-25,126.8126091,36.91743273,11
263,비케케선셋,충북 청주시 상당구 북문로2가 78-18,127.4884401,36.63845607,11
264,복사꽃피는집 단양점,충북 단양군 단양읍 상진리 715,128.3555516,36.97787955,11
265,돌산공원,전남 여수시 돌산읍 우두리 799-76,127.7399278,34.73054715,1
266,인생삼합,전남 여수시 중앙동 243,127.7413253,34.73739287,11
267,하원재,광주 남구 양림동 393,126.9127307,35.13862426,11
268,꽃무릇공원,전남 함평군 해보면 광암리 411-1,126.5418473,35.18211082,1
269,대청호,대전 동구 내탑동,127.5091483,36.40806211,1
270,신흥동일본식가옥,전북 군산시 신흥동 58-2,126.7060575,35.98616961,2
271,만천하스카이워크,충북 단양군 적성면 애곡리 산 1-27,128.3395703,36.98041263,13
272,군산근대역사박물관,전북 군산시 장미동 1-67,126.7120641,35.99083092,2
273,풍남문,전북 전주시 완산구 전동 83-4,127.1475798,35.81351829,2
274,하루,충남 공주시 중동 147-220,127.1241436,36.45636182,11
275,큰뫼골,대전 동구 마산동 488,127.4805547,36.38672928,11
276,그린하우스,충남 보령시 웅천읍 관당리 797-1,126.5378776,36.2463914,11
277,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
278,안토누찌,충북 충주시 종민동 678-4,127.9935868,36.99831968,11
279,전주커피공장&빵 혁신점,전북 완주군 이서면 갈산리 663-3,127.0565256,35.83744112,11
280,보성강골마을,전남 보성군 득량면 오봉리 402-3,127.1857804,34.76261237,7
281,영암 국제자동차경주장,전남 영암군 삼호읍 삼포리 1904,126.4103407,34.73596083,5
282,충청도순대,충북 단양군 단양읍 도전리 614,128.3700103,36.98305926,11
283,오사카오코노미야끼,대전 중구 은행동 149-1,127.4267895,36.32808332,11
284,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
285,쥬씨 천안역점,충남 천안시 동남구 대흥동 124-5,127.1477271,36.80874994,11
286,순천만국가정원,전남 순천시 오천동 600,127.4989016,34.92921833,1
287,국립무형유산원 얼쑤마루대공연장,전북 전주시 완산구 동서학동 896-1,127.1596639,35.8096851,3
288,해미읍성,충남 서산시 해미면 읍내리 491,126.5482159,36.71265505,2
289,충청도순대,충북 단양군 단양읍 도전리 614,128.3700103,36.98305926,11
290,술집김군,전북 전주시 덕진구 금암동 1312-28,127.128763,35.84242707,11
291,브리즈커리,대전 중구 대흥동 121-1,127.4296049,36.32564006,11
292,성심당 케익부띠끄,대전 중구 은행동 153,127.4268031,36.32751103,11
293,소호동동다리,전남 여수시 소호동,127.6508535,34.74083768,7
294,경기전 출입구,전북 전주시 완산구 풍남동3가 102,127.1497519,35.81531812,8
295,히바치텐,전남 순천시 왕지동 880-10,127.5259455,34.96889109,11
296,옛날국수,전북 완주군 구이면 원기리 928,127.1107399,35.73195712,11
297,소문난해물칼국수,전북 익산시 함라면 함열리 100-5,126.9147463,36.06171243,11
298,국동칼국수,전남 여수시 신월동 82,127.7103056,34.72510236,11
299,이끼터널,충북 단양군 적성면 애곡리 129-2,128.3335193,36.96201708,1
300,맛있는채움,전남 순천시 오천동 987-10,127.4956092,34.93064156,11
301,여수수산물특화시장,전남 여수시 남산동 4,127.7329396,34.73692442,4
302,롯데마트 수완점,광주 광산구 장덕동 1678,126.8211943,35.19016615,4
303,문장대,경북 상주시 화북면 장암리 산 33,127.8621942,36.56778608,1
304,동창식당,전남 장성군 북하면 약수리 245-1,126.8793423,35.42773126,11
305,대천해수욕장 스카이바이크,충남 보령시 신흑동 2209-4,126.5066159,36.32058712,13
306,갈비박스 본점,전북 정읍시 장명동 111,126.8575256,35.56620975,11
307,보령무궁화수목원 목재문화체험장,충남 보령시 성주면 성주리 251-8,126.6370727,36.33469897,13
308,이순신광장,전남 여수시 중앙동 383,127.7360499,34.7394476,1
309,백련사,전북 무주군 설천면 삼공리 936-1,127.7665079,35.86031927,2
310,국화회관,전북 정읍시 연지동 259-31,126.8454105,35.570211,11
311,쌍교숯불갈비 담양본점,전남 담양군 봉산면 양지리 2-2,126.952201,35.25326606,11
312,파라다이스스파도고,충남 아산시 선장면 신성리 260,126.8862154,36.76607896,6
313,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
314,낙안읍성민속마을,전남 순천시 낙안면 남내리 438-1,127.3398757,34.90741636,7
315,장성호수변트레킹길,전남 장성군 장성읍 용강리,126.8186948,35.35909357,7
316,전주전통술박물관,전북 전주시 완산구 풍남동3가 39-3,127.1535263,35.81706181,2
317,스타벅스 광주황금점,광주 동구 황금동 108,126.914543,35.14737597,11
318,장태산자연휴양림,대전 서구 장안동 259,127.3399285,36.2172022,1
319,소노문단양 오션플레이,충북 단양군 단양읍 상진리 4-4,128.3618819,36.97692229,6
320,테라로사 세종점,세종특별자치시 어진동 524,127.2564296,36.49943179,11
321,바다김밥 본점,전남 여수시 중앙동 667,127.7359395,34.74078233,11
322,초돈,광주 광산구 수완동 1386,126.8304524,35.19123405,11
323,고반식당 세종도담점,세종특별자치시 도담동 655,127.258315,36.51596481,11
324,돈카츠아라타,광주 동구 동명동 200-189,126.9224209,35.15126253,11
325,풍년제과 본점,전북 전주시 완산구 전동 125-8,127.14784,35.81541782,11
326,온양온천시장,충남 아산시 온천동 240,127.0017297,36.78306443,4
327,롯데마트 나주점,전남 나주시 송월동 1106-7,126.7129071,35.01323635,4
328,맛동순두부,전북 익산시 금마면 기양리 135-18,127.0243193,36.01152024,11
329,여수카페 하멜,전남 여수시 종화동 338-5,127.7483382,34.7369714,11
330,신세계백화점 광주신세계점,광주 서구 광천동 49-1,126.8826466,35.16064975,4
331,모범수산,충남 보령시 신흑동 2240-6,126.5087118,36.3265163,4
332,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
